img_name,solution,key
Raven1,5,8
Raven2,6,8
Raven3,6,8
Raven4,4,8
Raven5,5,8
Raven6,3,8
Raven7,2,8
Raven8,6,8
Raven9,8,8
Raven10,2,8
Raven11,4,8
Raven12,2,8
Raven13,2,8
Raven14,1,8
Raven15,2,8
Raven16,7,8
Raven17,3,8
Raven18,5,8
Raven19,2,8
Raven20,5,8
Raven21,6,8
Raven22,4,8
Raven23,4,6
Raven24,1,6
Raven25,6,6
Raven26,1,6
Raven27,5,6
Raven28,2,6
Raven29,1,6
Raven30,5,6
Raven31,4,6
Raven32,8,8
Raven33,3,8
Raven34,7,8
Raven35,7,8
Raven36,1,8
Raven37,3,8
Raven38,8,8
Raven39,5,8
Raven40,1,8
Raven41,7,8
Raven42,8,8
Raven43,1,8
Raven44,1,8
Raven45,3,8
